profileName,chart_name,login,tweets,following,followers,likes,comment,pic
Vitaly Portnikov,Віталій Портніков,portnikov,13700,173,300000,20,,https://pbs.twimg.com/profile_images/612038743332155392/LEbvI1y2_400x400.jpg
Український Троль,Український Троль,uk_troll,25400,94000,298000,73500,,https://pbs.twimg.com/profile_images/604625564524261376/IW0hJMML_400x400.png
Олександр Турчинов,Олександр Турчинов,Turchynov,1955,234,293000,19,,https://pbs.twimg.com/profile_images/868229925010116614/EWjE_7nh_400x400.jpg
Tetiana Danylenko,Тетяна Даниленко,tdanylenko,12600,384,251000,408,,https://pbs.twimg.com/profile_images/3733678230/477b09be2f778080410449ca942ce565_400x400.jpeg
Юлія Тимошенко,Юлія Тимошенко,YuliaTymoshenko,523,7,251000,2,,https://pbs.twimg.com/profile_images/466876496053669888/2AgF9MJs_400x400.jpeg
Анатолій Гриценко,Анатолій Гриценко,agrytsenko,2807,78,250000,4,,https://pbs.twimg.com/profile_images/840176021265633280/rDGLrZeD_400x400.jpg
Mikheil Saakashvili,Міхеіл Саакашвілі,SaakashviliM,3215,190,249000,36,,https://pbs.twimg.com/profile_images/789022264289325056/AgA9yVEc_400x400.jpg
Емельянов,Емельянов,ymlnv,3583,595,248000,7351,,https://pbs.twimg.com/profile_images/856818934330339328/g1Z7-gOc_400x400.jpg
Mister Twister,Mister Twister,sa_spilberg,233,11,245000,61,,https://pbs.twimg.com/profile_images/834540455236923396/qcYlUU34_400x400.jpg
Новости Донбасса,Новости Донбасса,novostidnua,117000,992,244000,5604,,https://pbs.twimg.com/profile_images/685256196866097152/S6Qfybuf_400x400.png
Аndriy Mykhaylivskyy,Аndriy Mykhaylivskyy,AndyMTVUA,361,558,240000,871,,https://pbs.twimg.com/profile_images/543825676386975744/WXIMSG8T_400x400.jpeg
Майкл Щур,Майкл Щур,MichaelShchur,2365,52,234000,26,,https://pbs.twimg.com/profile_images/378800000296343976/471e2ae85706b04c7f38424a1f3ba6bb_400x400.jpeg
Vova Ohorodnichuk,Vova Ohorodnichuk,ohorodnichuk,1,2853,232000,0,,https://pbs.twimg.com/profile_images/692980120492072962/EpwK3HDH_400x400.jpg
Пізнай!,Пізнай!,piznay,6265,55200,224000,2144,,https://pbs.twimg.com/profile_images/737013725060845568/7ULXXXYN_400x400.jpg
Vitalii Volochai,Vitalii Volochai,v1lat,57300,757,221000,3317,,https://pbs.twimg.com/profile_images/733596641656250368/YDFvXaHS_400x400.jpg
Леся Оробець,Леся Оробець,LesyaOrobets,4596,495,218000,8,,https://pbs.twimg.com/profile_images/457082800072441856/ViOHf36D_400x400.jpeg
Max Levchin,Max Levchin,mlevchin,2990,409,212000,259,,https://pbs.twimg.com/profile_images/889896929315831809/MflDZmUJ_400x400.jpg
Олег Тягнибок,Олег Тягнибок,o_tiahnybok,4347,2585,208000,634,,https://pbs.twimg.com/profile_images/815824372300705792/N-lw4Er7_400x400.jpg
